"","status","p_value","morans_test_statistic","morans_I","gene_short_name","q_value","module","supermodule","dim_1","dim_2"
"Lypla1","OK",0,68.7652095503452,0.14924535464842,"Lypla1",0,"1","1",2.16276807547809,-0.51779549377502
"Terf1","OK",9.71718211248526e-259,34.3406327668719,0.0744865887006548,"Terf1",3.77239375499396e-258,"1","1",1.10102690221072,-1.2476381565863
"Pkhd1","OK",1.30604375582497e-13,7.31301761790438,0.0157898471883073,"Pkhd1",2.3138522916529e-13,"1","1",2.57562215090991,0.56902570468842
"Tmem14a","OK",8.55778587290821e-169,27.6676538429977,0.0599911291867968,"Tmem14a",2.80674128704136e-168,"1","1",2.24161309958697,-0.708919456177364
"Ogfrl1","OK",9.86975336738834e-22,9.50638939518277,0.0205522803032017,"Ogfrl1",1.90159978433914e-21,"1","1",2.57364351512195,-0.528046539002071
"Lmbrd1","OK",0,96.3637221744474,0.20916006510424,"Lmbrd1",0,"1","1",0.540501045298585,-1.24741404312194
"Lipt1","OK",7.35058375603302e-10,6.04760848452389,0.0130567228866432,"Lipt1",1.24305258684134e-09,"1","1",1.47096676589251,-1.21545784729065
"Mitd1","OK",1.89725288013263e-27,10.7910448759246,0.0233600932341408,"Mitd1",3.82873776929703e-27,"1","1",1.80237610102893,-1.22499482887329
"Rnf149","OK",0,73.2057962007422,0.158877618973348,"Rnf149",0,"1","1",0.150768766415128,-0.254743983917843
"Slc40a1","OK",0,43.7546908512316,0.0949178350119589,"Slc40a1",0,"1","1",2.24191660643817,-0.634594133072506
"Inpp1","OK",2.19797580032329e-112,22.4974526051306,0.0487697551405637,"Inpp1",6.27764831096995e-112,"1","1",2.59699518443347,0.697083899802555
"Pms1","OK",2.73702709249899e-07,5.00890514554701,0.0107716877688526,"Pms1",4.44603690643082e-07,"1","1",0.975650916111478,0.0800581668084757
"Osgepl1","OK",4.47073865086842e-63,16.7228018621689,0.0362368493535923,"Osgepl1",1.08669302581308e-62,"1","1",2.51255376101733,-0.891976525955807
"Mob4","OK",0,64.2471404040732,0.139429328365798,"Mob4",0,"1","1",1.02974463464023,-1.4868275429541
"Mars2","OK",6.41260489701187e-09,5.6883774528597,0.012250668805244,"Mars2",1.07095743691458e-08,"1","1",0.299547890436658,-0.594133546524654
"Casp8","OK",6.18700671226842e-104,21.6172080280715,0.0468599975716594,"Casp8",1.72088407791049e-103,"1","1",1.23663968802691,-0.0675801541143759
"Stradb","OK",1.50757631156723e-132,24.4709069105452,0.0530584183183138,"Stradb",4.54467673069933e-132,"1","1",2.24720663787127,-0.692755630188595
"Tmem237","OK",1.34595604014544e-25,10.3921584216449,0.0224814843691152,"Tmem237",2.67185961952955e-25,"1","1",1.47172124148608,-1.62726800697387
"Ndufs1","OK",0,76.1890339706138,0.165359400295641,"Ndufs1",0,"1","1",1.55801779986621,-1.12661521690429
"Idh1","OK",0,142.045036765265,0.308360624085132,"Idh1",0,"1","1",2.56479961634875,-0.536566426926266
"Rpe","OK",3.90741545077198e-157,26.6810304239786,0.0578587285226817,"Rpe",1.24892213083394e-156,"1","1",1.89190931082965,-1.7679816986853
"Acadl","OK",0,129.493022107044,0.281106814766971,"Acadl",0,"1","1",1.64264971972705,0.0852239821618692
"Mreg","OK",5.8682309159294e-26,10.4710254813532,0.0226580373236018,"Mreg",1.1686886187261e-25,"1","1",2.2155525183797,0.933010885543217
"Pecr","OK",0,91.6217488613988,0.198871286563396,"Pecr",0,"1","1",1.93289382220508,0.881082961387028
"Bcs1l","OK",8.02055128326078e-68,17.3618705089624,0.0376223368613821,"Bcs1l",1.98576356945233e-67,"1","1",1.14424015046359,-1.05745618598999
"Stk16","OK",0,114.012031056574,0.247489310104386,"Stk16",0,"1","1",1.09625119925738,-0.640130212479244
"Pid1","OK",0,87.174678167908,0.189216714380664,"Pid1",0,"1","1",1.16672898293735,0.668808529204716
"Ugt1a10","OK",6.92365246249737e-07,4.82718992681315,0.00999010753085616,"Ugt1a10",1.11533985158586e-06,"1","1",0.633443111789236,0.372372219390263
"Ugt1a6b","OK",0,40.8968020660878,0.0887196807353541,"Ugt1a6b",0,"1","1",1.82412225962878,-0.0620879437261923
"Ugt1a1","OK",0,154.764189401938,0.335977106885136,"Ugt1a1",0,"1","1",1.80622954131366,0.822906205481877
"Spp2","OK",0,76.3709540394585,0.16576155373826,"Spp2",0,"1","1",2.73748333216907,0.39636773807465
"Rab17","OK",2.67388584523036e-263,34.6448099658418,0.0751442958279037,"Rab17",1.04814409840022e-262,"1","1",2.33638436557055,-0.476692607575069
"Hes6","OK",0,71.5830856787271,0.155357163986933,"Hes6",0,"1","1",2.77898938418628,0.855897733992924
"Ndufa10","OK",0,95.081540999442,0.206389484716336,"Ndufa10",0,"1","1",2.52472407580615,-0.847715308838497
"Gpc1","OK",9.24447015313711e-08,5.21392183178045,0.0112234685132204,"Gpc1",1.51532965507617e-07,"1","1",1.79524011374713,0.770413229293217
"Capn10","OK",1.44703449889721e-27,10.81590973908,0.0234042279618373,"Capn10",2.92557192592716e-27,"1","1",2.50752336741687,0.632091591185917
"Sned1","OK",0.0299532310506066,1.88148140750133,0.0039631410773529,"Sned1",0.0418008524033192,"1","1",1.60199124575854,-0.698443343811642
"D1Ertd622e","OK",3.78377888589796e-278,35.6172816597457,0.0772613903653873,"D1Ertd622e",1.51697655333894e-277,"1","1",1.22910864115954,-1.0212878491217
"Gin1","OK",8.23770370483338e-59,16.1270304071065,0.0349352843995724,"Gin1",1.96125441064577e-58,"1","1",0.275328496706495,0.643642971343388
"Inhbb","OK",0,43.4047702548259,0.0941549966594907,"Inhbb",0,"1","1",1.73206026316882,0.664954969710697
"Tmem177","OK",4.63669199427776e-69,17.5247588874675,0.03797295205497,"Tmem177",1.15450164816897e-68,"1","1",2.30897934199573,-1.04392950790466
