"","status","p_value","morans_test_statistic","morans_I","gene_short_name","q_value","module","supermodule","dim_1","dim_2"
"Rb1cc1","OK",1.57903389297864e-306,37.4056880838578,0.0811292690095309,"Rb1cc1",6.61080227926549e-306,"2","1",-2.42631237744092,0.776363441771855
"Vcpip1","OK",1.9504481550781e-159,26.878665139171,0.0582729300543296,"Vcpip1",6.26687294616517e-159,"2","1",-2.15063374279737,1.33167917472779
"Cspp1","OK",5.97231266836251e-112,22.4530646771424,0.0486625959578051,"Cspp1",1.70416661112325e-111,"2","1",-1.23560576676129,1.05207009059845
"Arfgef1","OK",0,38.9174865697422,0.0844009855648982,"Arfgef1",0,"2","1",-2.65697686909436,1.60712046367585
"Dst","OK",0,99.5040977159971,0.215942695283023,"Dst",0,"2","1",-3.07018916844129,0.56985349399506
"Fam168b","OK",2.51142854823258e-58,16.0580257307288,0.0347751095595163,"Fam168b",5.96814820790445e-58,"2","1",-1.75086372135877,0.974477717704167
"Uggt1","OK",0,72.7774084335672,0.157920030445147,"Uggt1",0,"2","1",-3.13296191929578,1.34769518119751
"Kansl3","OK",2.49649936005691e-59,16.2006091942631,0.0350759217728041,"Kansl3",5.95854512369969e-59,"2","1",-2.42021196125745,1.51946497899949
"Eif5b","OK",0,83.5611655050094,0.181362239549273,"Eif5b",0,"2","1",-2.34314244030713,0.4683042262262
"Rev1","OK",8.98805149508694e-44,13.825140547067,0.0299166521213959,"Rev1",1.99976641584459e-43,"2","1",-1.68391459225415,1.3960448597139
"Tbc1d8","OK",2.87235407349455e-18,8.63751865189744,0.0186492730214351,"Tbc1d8",5.37137923702185e-18,"2","1",-3.06471030949353,0.716696450538029
"Tgfbrap1","OK",1.84304762173137e-11,6.61617598361892,0.0142761918679383,"Tgfbrap1",3.18999420623402e-11,"2","1",-1.80107133625745,2.32161852163731
"Ercc5","OK",1.3846584248761e-59,16.2368155387826,0.0351590511594606,"Ercc5",3.30948698243278e-59,"2","1",-1.57517712353467,1.29114300949036
"Nab1","OK",0,44.8439924891132,0.0972878510790713,"Nab1",0,"2","1",-1.62479608296155,2.02491552574097
"Cflar","OK",0,47.3785754355484,0.102791498380613,"Cflar",0,"2","1",-2.72033303021192,1.15443904144226
"Trak2","OK",3.19699360702887e-26,10.5283582826019,0.0227536841467844,"Trak2",6.38357219709452e-26,"2","1",-1.39959328411817,2.02453468186318
"Bmpr2","OK",1.07435765226745e-49,14.774206928304,0.0319812444968781,"Bmpr2",2.45853977086233e-49,"2","1",-0.943353703010073,1.07560152751862
"Raph1","OK",0,66.6384023661886,0.144615290410678,"Raph1",0,"2","1",-1.42259471653699,1.73588485462128
"Ino80d","OK",2.36795084627926e-58,16.0616746623348,0.0347719471152941,"Ino80d",5.62806124050521e-58,"2","1",-1.40573303936719,1.29758662921845
"Fzd5","OK",5.1400248389211e-20,9.08594628577803,0.0196240306121595,"Fzd5",9.75484278013228e-20,"2","1",-1.68576352833509,2.07812065822541
"Pikfyve","OK",4.49764698710121e-32,11.7295336094128,0.0253662084729973,"Pikfyve",9.3523469647648e-32,"2","1",-1.85245697735547,1.85768688661515
"Ttll4","OK",5.70858549232294e-16,8.01057678028158,0.0172710682208222,"Ttll4",1.04072165971284e-15,"2","1",-2.21213119267224,0.531039306945194
"Abcb6","OK",2.17807034885558e-164,27.2990252212501,0.0591816288658371,"Abcb6",7.07688124586812e-164,"2","1",-2.67378370999097,2.05369744641243
"Atg9a","OK",6.71974880984026e-122,23.4492959871685,0.0508121107214826,"Atg9a",1.97216454727413e-121,"2","1",-2.66382758854627,2.12025303584992
"Irs1","OK",8.79790339238936e-26,10.4326254331807,0.0225417240723612,"Irs1",1.75010091758512e-25,"2","1",-2.82282011746167,1.74362702114045
"Agfg1","OK",0,43.7018170221758,0.0947957547828273,"Agfg1",0,"2","1",-2.42382114170789,1.06055099708496
"Cab39","OK",0,42.7663201520228,0.0927632411208387,"Cab39",0,"2","1",-1.80009525059461,1.79772854787766
"Gigyf2","OK",6.47395896450688e-157,26.6621262231366,0.0578046851546951,"Gigyf2",2.06753799944016e-156,"2","1",-1.94561498402356,1.49200368863999
"Atg16l1","OK",2.05015864033206e-102,21.4550089676044,0.0464920613664257,"Atg16l1",5.67050195772709e-102,"2","1",-2.69615881680249,0.915123412436833
"Dgkd","OK",9.38987616716467e-122,23.4350491941414,0.0507782110059476,"Dgkd",2.75370473702324e-121,"2","1",-1.8473753237605,1.50559825641571
"Usp40","OK",1.58011043455104e-36,12.5681526448035,0.0271882098040602,"Usp40",3.37968065167861e-36,"2","1",-1.92401855229138,1.63766134721695
"Farp2","OK",1.5706413598708e-07,5.11476711654355,0.0110153736996712,"Farp2",2.56440464116146e-07,"2","1",-2.17423694370984,1.31384820682465
"Ppip5k2","OK",0,39.538366387,0.085762255361211,"Ppip5k2",0,"2","1",-2.22053115605115,0.464886615104069
"2310035C23Rik","OK",1.21181187411674e-71,17.8598332198458,0.0386864369305612,"2310035C23Rik",3.04253536737519e-71,"2","1",-1.98423187969922,0.530228087729801
"Phlpp1","OK",1.05109116090918e-05,4.25375187623776,0.00913948302611911,"Phlpp1",1.65188408806271e-05,"2","1",-2.11456029652356,2.05315036518036
"Clasp1","OK",2.15601845660464e-31,11.5961168226102,0.0250564128533988,"Clasp1",4.46803770767553e-31,"2","1",-2.77398865460156,1.0055129025644
